id,name,host_id,host_name,host_since,neighbourhood,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,review_scores_value
2136480,Skyrocketing 2-level APT in CITY CENTRE,1477248,Erik,06-12-2011,Centrum-West,Apartment,Entire home/apt,4,2,4,75,15,330,8,9,0.13,10
2136910,Comfortable stay in the centre of Amsterdam! (8),10905591,Dirk,30-12-2013,Centrum-Oost,Bed and breakfast,Private room,2,0,1,105,1,316,141,3,2.51,9
2137159,Modern loft with amazing view,10906816,Florian,30-12-2013,Oud-Oost,Apartment,Entire home/apt,2,1,1,101,3,11,86,1,1.66,10
2137635,City Center Apartment,72249,Hanneke,21-01-2010,Centrum-West,Apartment,Entire home/apt,2,1,1,249,3,343,16,2,0.27,10
2140846,Cozy studio in the center,10871108,Christian,28-12-2013,Centrum-Oost,Apartment,Entire home/apt,4,1,2,160,2,2,13,1,0.68,8
2141536,Charming spacious house near park,2221665,Monique,25-04-2012,Zuid,Apartment,Entire home/apt,4,3,4,120,5,0,2,1,0.04,10
2144304,Hudge house close to Vondelpark,10945068,Lodewijk & Esther,01-01-2014,Zuid,House,Entire home/apt,6,4,6,418,3,11,14,1,0.34,10
2144308,"Light apartment, free parking",10945099,Jeanine,01-01-2014,Noord-West,Apartment,Entire home/apt,2,1,1,85,3,9,11,1,0.52,9
2144830,Lovely apartment with water view!,10947266,Heleen,01-01-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,250,2,17,7,1,0.14,10
2146724,One of the monumental apartment,10958477,Issiaka,02-01-2014,De Baarsjes - Oud-West,House,Entire home/apt,2,1,1,100,4,103,39,1,0.69,9
2147106,Nice and bright apartment,9558831,Bas,21-10-2013,Oud-Oost,Apartment,Entire home/apt,3,1,1,75,4,0,2,1,0.04,9
2148417,Nice apartment near City Center,10965305,Roos,02-01-2014,Bos en Lommer,Apartment,Entire home/apt,4,1,2,165,2,333,60,1,1.37,9
2148688,Modern & spacious family home,5378966,Caroline,08-03-2013,Geuzenveld - Slotermeer,House,Entire home/apt,8,4,6,177,5,15,7,1,0.12,9
2151999,Spacious Apartment close to RAI,5513568,Esther,18-03-2013,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,2,3,151,5,78,43,1,0.75,9
2157143,"Classy appt canal view, Jordaan",10660162,Danielle,16-12-2013,Centrum-West,Apartment,Entire home/apt,2,1,1,135,4,66,4,1,0.07,10
2162033,Comfy apt. + garden & greenhouse,10410582,Michiel,03-12-2013,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,109,2,1,84,2,1.44,9
2163819,A Beautiful Appartment in Amsterdam,11040439,Angela,05-01-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,140,4,47,31,1,0.56,9
2166978,Cozy apartment Jordaan district,11057252,Peter,06-01-2014,Centrum-West,Apartment,Entire home/apt,2,1,1,95,2,0,73,1,1.26,9
2168141,"Lovely Apartment in ""the Pijp""",867565,Hanneke,25-07-2011,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,145,3,361,8,1,0.14,9
2170230,Two quiet rooms close to the centre,6130091,Ange,28-04-2013,De Baarsjes - Oud-West,Apartment,Private room,4,2,2,120,3,0,23,3,0.39,10
2174178,loft with garden in Jordaan.,11090870,Julia,07-01-2014,Centrum-West,Apartment,Entire home/apt,4,1,4,150,3,0,62,1,1.07,9
2174398,Monumental Cozy Apartment + Garden,11091694,Mark,07-01-2014,Westerpark,Apartment,Entire home/apt,2,1,1,150,2,279,8,1,0.14,9
2175600,Lovely loft next to the Vondelpark,6630741,Marie-Sophie,29-05-2013,Zuid,Loft,Entire home/apt,2,1,1,160,1,176,75,1,1.35,10
2176204,"Central,Spacious & Bright Loft (nearby Vondelpark)",11099352,Carlijn,07-01-2014,Zuid,Apartment,Entire home/apt,4,2,2,135,2,165,14,1,0.28,8
